disp_size,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,resolution_width,resolution_height,f_cam_1,f_cam_2,p_cam_1,p_cam_2,p_cam_3,p_cam_4,mobile_brand_Mi,mobile_brand_OPPO,mobile_brand_POCO,mobile_brand_Realme,mobile_brand_Redmi,mobile_brand_Samsung,mobile_brand_Vivo,mobile_color_Blue,mobile_color_Brown,mobile_color_Champagne,mobile_color_Concrete,mobile_color_Cyan,mobile_color_Gold,mobile_color_Green,mobile_color_Grey,mobile_color_Mint,mobile_color_Orange,mobile_color_Purple,mobile_color_Radiant Mist,mobile_color_Red,mobile_color_Ruby,mobile_color_Sapphire,mobile_color_Silver,mobile_color_Violet,mobile_color_White,os_Android Lollipop 5.1,os_Android Lollipop 5.4.1,os_Android Marshmallow 6,os_Android Marshmallow 6.0.1,os_Android Nougat 7,os_Android Nougat 7.1,os_Android Nougat 7.1.1,os_Android Nougat 7.1.2,os_Android Oreo 8,os_Android Oreo 8.1,os_Android Pie 9,num_cores_Quad Core,network_top_4G,network_top_4G VOLTE,network_top_5G,mobile_price
16.56,2.0,32,3,5000,75.0,164.4,8.95,195.0,1600,720,5,0.0,12,2.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,160
16.56,2.0,32,3,5000,75.0,164.4,8.95,195.0,1600,720,5,0.0,12,2.0,2.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,160
16.56,2.0,64,4,5000,75.0,164.4,8.95,195.0,1600,720,5,0.0,12,2.0,2.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178
16.56,2.0,64,4,5000,75.0,164.4,8.95,195.0,1600,720,5,0.0,12,2.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178
16.51,2.0,128,4,5000,75.4,164.4,9.0,199.0,1600,720,16,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,214
16.51,2.0,128,4,5000,75.4,164.4,9.0,199.0,1600,720,16,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,214
16.0,2.3,64,6,4035,74.2,157.0,8.9,184.0,2340,1080,16,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,267
16.0,2.3,128,8,4035,74.2,157.0,8.9,184.0,2340,1080,16,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,303
16.0,2.3,128,8,4035,74.2,157.0,8.9,184.0,2340,1080,16,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,303
16.0,2.3,64,4,4035,74.2,157.0,8.9,184.0,2340,1080,16,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,249
16.51,2.96,256,12,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,641
16.51,2.96,256,12,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,641
16.51,2.96,128,8,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,570
16.51,2.96,128,8,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,570
16.0,1.95,128,8,3500,74.0,156.7,8.5,174.0,2340,1080,16,0.0,16,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,276
16.26,2.3,64,4,4000,75.16,158.7,8.55,183.0,1080,2340,16,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,303
16.26,2.3,64,4,4000,75.16,158.7,8.55,183.0,1080,2340,16,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,303
16.36,2.8,128,8,4200,74.24,158.96,9.65,207.0,1080,2400,32,8.0,64,12.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,748
16.36,2.8,128,8,4200,74.24,158.96,9.65,207.0,1080,2400,32,8.0,64,12.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,748
16.36,2.8,256,12,4200,74.24,158.96,9.65,207.0,1080,2400,32,8.0,64,12.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,837
16.56,2.0,32,3,5000,75.0,164.4,8.95,195.0,720,1600,5,0.0,12,2.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,160
16.51,2.05,128,6,4300,74.8,162.1,9.6,191.0,2400,1080,16,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,303
16.76,2.3,128,8,4300,75.8,163.9,9.4,195.0,2400,1080,16,8.0,64,12.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,356
16.76,2.3,128,8,4300,75.8,163.9,9.4,195.0,2400,1080,16,8.0,64,12.0,8.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,356
15.49,2.0,32,2,4000,73.7,154.3,8.5,166.0,1560,720,5,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,125
15.49,2.0,32,2,4000,73.7,154.3,8.5,166.0,1560,720,5,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,125
15.49,2.0,32,3,4000,73.7,154.3,8.5,166.0,1560,720,5,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,133
15.49,2.0,32,3,4000,73.7,154.3,8.5,166.0,1560,720,5,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,133
15.49,2.0,32,3,4000,73.7,154.3,8.5,166.0,1560,720,5,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,133
16.51,2.05,128,8,4300,74.8,162.1,9.6,191.0,2400,1080,16,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,320
15.49,2.0,32,3,4000,73.7,154.3,8.5,166.0,1560,720,5,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,133
16.0,2.3,64,4,4035,74.2,157.0,8.9,184.0,2340,1080,16,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,249
16.51,2.0,128,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,214
16.51,2.0,64,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,196
16.51,2.0,128,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,214
16.51,2.0,64,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,196
16.51,2.0,128,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,214
16.51,2.0,64,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,196
16.51,2.96,64,6,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,534
16.51,2.96,64,6,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,534
16.51,2.96,256,12,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,659
16.51,2.96,256,12,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,659
16.51,2.05,128,8,4300,74.8,162.1,9.6,191.0,2400,1080,16,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,320
15.49,2.0,32,3,4000,73.7,154.3,8.5,166.0,1560,720,5,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,133
16.0,2.3,64,4,4035,74.2,157.0,8.9,184.0,2340,1080,16,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,249
16.51,2.0,128,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,214
16.51,2.0,64,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,196
16.51,2.0,128,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,214
16.51,2.0,64,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,196
16.51,2.0,128,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,214
16.51,2.0,64,4,5000,75.6,164.4,9.3,198.0,720,1600,13,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,196
16.51,2.96,64,6,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,534
16.51,2.96,64,6,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,534
16.51,2.96,256,12,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,659
16.51,2.96,256,12,4000,75.7,161.0,8.7,199.0,2400,1080,16,0.0,64,13.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,659
16.26,2.2,128,6,4000,75.2,158.7,8.6,182.0,1080,2340,32,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,356
16.26,2.2,128,6,4000,75.2,158.7,8.6,182.0,1080,2340,32,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,356
16.26,2.2,64,4,4000,75.2,158.7,8.6,182.0,1080,2340,32,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,320
16.26,2.2,64,4,4000,75.2,158.7,8.6,182.0,1080,2340,32,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,320
16.26,2.2,128,8,4000,75.2,158.7,8.6,182.0,1080,2340,32,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,374
16.26,2.2,128,6,4000,75.2,158.7,8.6,182.0,1080,2340,32,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,356
16.26,2.2,128,8,4000,75.2,158.7,8.6,182.0,1080,2340,32,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,374
16.26,2.2,128,8,4000,75.2,158.7,8.6,182.0,1080,2340,32,0.0,64,8.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,374
15.49,2.0,16,2,4000,73.7,154.3,8.5,166.0,1560,720,5,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,116
16.51,2.0,128,4,5000,75.4,164.4,9.0,199.0,1600,720,16,0.0,48,8.0,2.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,214
16.69,2.96,128,8,4200,75.8,163.8,9.3,202.0,2400,1080,16,8.0,64,12.0,8.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,463
16.69,2.96,128,6,4200,75.8,163.8,9.3,202.0,2400,1080,16,8.0,64,12.0,8.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,445
16.69,2.96,128,8,4200,75.8,163.8,9.3,202.0,2400,1080,16,8.0,64,12.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,463
16.69,2.96,128,8,4200,75.8,163.8,9.3,202.0,2400,1080,32,8.0,64,8.0,8.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,498
16.69,2.96,256,12,4200,75.8,163.8,9.3,202.0,2400,1080,32,8.0,64,8.0,8.0,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,587
16.69,2.96,256,12,4200,75.8,163.8,9.3,202.0,2400,1080,32,8.0,64,8.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,587
16.69,2.96,128,8,4200,75.8,163.8,9.3,202.0,2400,1080,32,8.0,64,8.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,498
15.8,2.1,32,3,4230,75.6,156.1,8.3,175.0,1520,720,13,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,151
15.8,2.1,64,4,4230,75.6,156.1,8.3,175.0,1520,720,13,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,169
15.8,2.1,64,3,4230,75.6,156.1,8.3,175.0,1520,720,13,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,169
15.8,2.1,64,3,4230,75.6,156.1,8.3,175.0,1520,720,13,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,169
15.8,2.1,32,3,4230,75.6,156.1,8.3,175.0,1520,720,13,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,151
15.8,2.1,64,4,4230,75.6,156.1,8.3,175.0,1520,720,13,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,187
15.8,2.1,64,4,4230,75.6,156.1,8.3,175.0,1520,720,13,0.0,13,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,187
15.8,1.95,64,4,5000,75.41,156.48,9.4,188.0,1520,720,8,0.0,12,2.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,174
15.8,1.95,64,4,5000,75.41,156.48,9.4,188.0,1520,720,8,0.0,12,2.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,174
16.23,2.84,128,6,4000,74.3,156.7,8.8,191.0,2340,1080,20,0.0,48,13.0,8.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,445
16.94,2.3,64,4,5020,76.68,165.75,8.8,209.0,2400,1080,16,0.0,48,8.0,5.0,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,303
